GENE_SYMBOL,COEFFICIENT,ABS_COEFFICIENT,SIGN,COEFFICIENT_MEAN,COEFFICIENT_MEDIAN,COEFFICIENT_STD,POSITIVE_FRACTION,NEGATIVE_FRACTION
YTHDF3,0.000285,0.000285,1,0.000190,0.000205,0.000067,1.00,0.00
BAG5,-0.000247,0.000247,-1,-0.000167,-0.000201,0.000080,0.03,0.97
CYB5B,0.000235,0.000235,1,0.000151,0.000199,0.000085,0.98,0.02
SETD3,0.000225,0.000225,1,0.000139,0.000180,0.000079,0.98,0.02
TMEM11,-0.000223,0.000223,-1,-0.000148,-0.000148,0.000042,0.00,1.00
WDR13,0.000221,0.000221,1,0.000135,0.000164,0.000078,0.92,0.08
MSTN,0.000220,0.000220,1,0.000139,0.000157,0.000057,0.98,0.02
GSTA3,-0.000220,0.000220,-1,-0.000146,-0.000148,0.000047,0.00,1.00
DHRS7B,-0.000216,0.000216,-1,-0.000148,-0.000149,0.000033,0.00,1.00
RTF1,-0.000215,0.000215,-1,-0.000130,-0.000145,0.000042,0.00,1.00
FAM208B,0.000213,0.000213,1,0.000145,0.000150,0.000040,0.99,0.01
SRR,-0.000213,0.000213,-1,-0.000153,-0.000165,0.000050,0.00,1.00
SFR1,0.000212,0.000212,1,0.000124,0.000140,0.000053,0.98,0.02
GTPBP6,-0.000210,0.000210,-1,-0.000121,-0.000123,0.000048,0.01,0.99
CMAS,-0.000210,0.000210,-1,-0.000125,-0.000127,0.000057,0.03,0.97
ISCA2,-0.000208,0.000208,-1,-0.000153,-0.000161,0.000060,0.02,0.98
DDT,0.000208,0.000208,1,0.000128,0.000139,0.000062,0.99,0.01
AKAP10,-0.000207,0.000207,-1,-0.000135,-0.000135,0.000037,0.00,1.00
DDTL,0.000204,0.000204,1,0.000125,0.000142,0.000047,1.00,0.00
NDUFB9,0.000203,0.000203,1,0.000129,0.000143,0.000049,1.00,0.00
