GENE_A,GENE_B,CORRELATION,ABS_CORRELATION
TMEM11,DHRS7B,0.752273,0.752273
TMEM11,AKAP10,0.670153,0.670153
CYB5B,DDT,0.489348,0.489348
BAG5,ISCA2,0.489120,0.489120
DHRS7B,AKAP10,0.481228,0.481228
DDT,NDUFB9,0.481068,0.481068
DHRS7B,SRR,0.446882,0.446882
CYB5B,SFR1,0.434718,0.434718
SETD3,DDTL,0.384198,0.384198
BAG5,CYB5B,-0.367261,0.367261
MSTN,ISCA2,-0.359223,0.359223
SETD3,DDT,0.352213,0.352213
RTF1,DDTL,-0.331550,0.331550
GSTA3,NDUFB9,-0.330513,0.330513
SRR,NDUFB9,-0.323365,0.323365
MSTN,CMAS,-0.321653,0.321653
WDR13,AKAP10,-0.314866,0.314866
YTHDF3,NDUFB9,0.313791,0.313791
DDTL,NDUFB9,0.312458,0.312458
TMEM11,SRR,0.309663,0.309663
